±àºÅ,ÐÕÃû,×Ü·Ö,±ÊÊÔ,toy,running,classroom,problem,earthworm,angrybirds,
BJ-0291,BJ-0291,190,0,100,25,0,30,30,5,
BJ-0290,BJ-0290,0,0,0,0,0,0,0,0,
BJ-0289,BJ-0289,240,0,100,30,0,50,60,0,
BJ-0288,BJ-0288,279,0,95,25,4,100,55,0,
BJ-0287,BJ-0287,393,0,100,60,68,100,35,30,
BJ-0286,BJ-0286,165,0,100,10,0,15,40,0,
BJ-0285,BJ-0285,300,0,100,20,60,40,65,15,
BJ-0284,BJ-0284,170,0,80,40,0,35,15,0,
BJ-0283,BJ-0283,315,0,95,25,20,100,60,15,
BJ-0282,BJ-0282,326,0,100,25,56,100,35,10,
BJ-0281,BJ-0281,209,0,100,25,4,55,25,0,
BJ-0280,BJ-0280,260,0,100,10,0,90,60,0,
BJ-0279,BJ-0279,145,0,80,0,0,30,35,0,
BJ-0278,BJ-0278,181,0,100,25,16,25,15,0,
BJ-0277,BJ-0277,279,0,100,0,44,85,50,0,
BJ-0276,BJ-0276,200,0,80,25,0,40,55,0,
BJ-0275,BJ-0275,536,0,100,80,96,100,60,100,
BJ-0274,BJ-0274,255,0,80,60,0,100,15,0,
BJ-0273,BJ-0273,5,0,0,0,0,0,5,0,
BJ-0272,BJ-0272,256,0,100,40,16,90,0,10,
BJ-0271,BJ-0271,175,0,100,20,0,55,0,0,
BJ-0270,BJ-0270,234,0,100,25,4,70,35,0,
BJ-0269,BJ-0269,205,0,95,25,0,20,65,0,
BJ-0268,BJ-0268,205,0,90,20,0,70,25,0,
BJ-0267,BJ-0267,302,0,100,95,12,40,55,0,
BJ-0266,BJ-0266,159,0,80,0,4,50,25,0,
BJ-0265,BJ-0265,283,0,100,25,8,65,55,30,
BJ-0264,BJ-0264,215,0,100,20,0,55,40,0,
BJ-0263,BJ-0263,600,0,100,100,100,100,100,100,
BJ-0262,BJ-0262,244,0,100,5,4,100,35,0,
BJ-0261,BJ-0261,561,0,100,100,96,100,65,100,
BJ-0260,BJ-0260,235,0,100,20,0,50,40,25,
BJ-0259,BJ-0259,75,0,15,25,0,35,0,0,
BJ-0258,BJ-0258,129,0,85,25,4,15,0,0,
BJ-0257,BJ-0257,323,0,100,0,88,100,35,0,
BJ-0256,BJ-0256,130,0,100,0,0,30,0,0,
BJ-0255,BJ-0255,240,0,100,45,0,55,40,0,
BJ-0254,BJ-0254,189,0,100,20,4,40,15,10,
BJ-0253,BJ-0253,389,0,100,40,4,100,55,90,
BJ-0252,BJ-0252,15,0,0,0,0,5,10,0,
BJ-0251,BJ-0251,170,0,90,25,0,20,35,0,
BJ-0250,BJ-0250,55,0,0,0,0,40,15,0,
BJ-0249,BJ-0249,164,0,85,20,4,20,35,0,
BJ-0248,BJ-0248,275,0,100,25,0,100,35,15,
BJ-0247,BJ-0247,321,0,100,40,16,90,35,40,
BJ-0246,BJ-0246,124,0,100,10,4,10,0,0,
BJ-0245,BJ-0245,121,0,15,40,16,35,15,0,
BJ-0244,BJ-0244,230,0,100,40,0,45,35,10,
BJ-0243,BJ-0243,184,0,100,40,4,5,35,0,
BJ-0242,BJ-0242,110,0,100,0,0,5,5,0,
BJ-0241,BJ-0241,220,0,100,30,0,40,45,5,
BJ-0240,BJ-0240,193,0,100,25,28,5,35,0,
BJ-0239,BJ-0239,275,0,100,25,0,100,40,10,
BJ-0238,BJ-0238,190,0,100,25,0,40,25,0,
BJ-0237,BJ-0237,145,0,50,20,0,20,55,0,
BJ-0236,BJ-0236,205,0,100,25,0,65,15,0,
BJ-0235,BJ-0235,140,0,90,0,0,40,10,0,
BJ-0234,BJ-0234,75,0,45,0,0,30,0,0,
BJ-0233,BJ-0233,205,0,100,25,0,45,25,10,
BJ-0232,BJ-0232,492,0,100,60,92,100,60,80,
BJ-0231,BJ-0231,185,0,100,25,0,40,20,0,
BJ-0230,BJ-0230,344,0,100,25,4,100,35,80,
BJ-0229,BJ-0229,40,0,0,0,0,25,15,0,
BJ-0228,BJ-0228,323,0,95,25,28,90,60,25,
BJ-0227,BJ-0227,203,0,10,25,8,100,60,0,
BJ-0226,BJ-0226,0,0,0,0,0,0,0,0,
BJ-0225,BJ-0225,580,0,100,100,100,100,90,90,
BJ-0224,BJ-0224,259,0,95,25,4,0,55,80,
BJ-0223,BJ-0223,187,0,100,0,12,5,55,15,
BJ-0222,BJ-0222,434,0,100,45,44,100,60,85,
BJ-0221,BJ-0221,174,0,100,15,4,30,25,0,
BJ-0220,BJ-0220,244,0,100,20,4,65,55,0,
BJ-0219,BJ-0219,169,0,70,25,4,30,40,0,
BJ-0218,BJ-0218,330,0,95,0,40,90,25,80,
BJ-0217,BJ-0217,195,0,100,25,0,10,60,0,
BJ-0216,BJ-0216,314,0,100,40,44,65,45,20,
BJ-0215,BJ-0215,135,0,100,10,0,15,10,0,
BJ-0214,BJ-0214,115,0,80,0,0,35,0,0,
BJ-0213,BJ-0213,145,0,0,0,0,80,60,5,
BJ-0212,BJ-0212,490,0,100,45,80,100,65,100,
BJ-0211,BJ-0211,145,0,80,20,0,30,15,0,
BJ-0210,BJ-0210,50,0,0,20,0,30,0,0,
BJ-0209,BJ-0209,140,0,80,0,0,30,30,0,
BJ-0208,BJ-0208,214,0,100,30,4,20,60,0,
BJ-0207,BJ-0207,35,0,0,0,0,10,25,0,
BJ-0206,BJ-0206,120,0,100,20,0,0,0,0,
BJ-0205,BJ-0205,190,0,100,20,0,40,30,0,
BJ-0204,BJ-0204,215,0,100,20,0,40,55,0,
BJ-0203,BJ-0203,110,0,80,10,0,5,15,0,
BJ-0202,BJ-0202,110,0,65,0,0,10,35,0,
BJ-0201,BJ-0201,326,0,100,25,16,100,60,25,
BJ-0200,BJ-0200,20,0,15,0,0,5,0,0,
BJ-0199,BJ-0199,15,0,15,0,0,0,0,0,
BJ-0198,BJ-0198,583,0,100,95,88,100,100,100,
BJ-0197,BJ-0197,135,0,40,20,0,45,25,5,
BJ-0196,BJ-0196,165,0,100,10,0,30,25,0,
BJ-0195,BJ-0195,125,0,90,0,0,20,15,0,
BJ-0194,BJ-0194,259,0,80,55,4,50,55,15,
BJ-0193,BJ-0193,55,0,0,0,0,50,5,0,
BJ-0192,BJ-0192,162,0,95,25,12,15,15,0,
BJ-0191,BJ-0191,184,0,95,30,24,0,35,0,
BJ-0190,BJ-0190,50,0,20,0,0,30,0,0,
BJ-0189,BJ-0189,5,0,0,0,0,0,5,0,
BJ-0188,BJ-0188,40,0,15,0,0,25,0,0,
BJ-0187,BJ-0187,150,0,95,25,0,30,0,0,
BJ-0186,BJ-0186,245,0,100,25,0,100,15,5,
BJ-0185,BJ-0185,469,0,100,75,64,100,60,70,
BJ-0184,BJ-0184,230,0,100,25,0,70,35,0,
BJ-0183,BJ-0183,469,0,100,25,84,100,60,100,
BJ-0182,BJ-0182,246,0,100,20,16,50,55,5,
BJ-0181,BJ-0181,145,0,45,0,0,100,0,0,
BJ-0180,BJ-0180,100,0,100,0,0,0,0,0,
BJ-0179,BJ-0179,249,0,100,60,4,20,55,10,
BJ-0178,BJ-0178,30,0,0,0,0,30,0,0,
BJ-0177,BJ-0177,120,0,45,40,0,15,20,0,
BJ-0176,BJ-0176,300,0,100,40,0,100,60,0,
BJ-0175,BJ-0175,184,0,80,40,4,30,30,0,
BJ-0174,BJ-0174,44,0,0,20,4,10,10,0,
BJ-0173,BJ-0173,244,0,100,25,4,70,45,0,
BJ-0172,BJ-0172,210,0,100,40,0,35,35,0,
BJ-0171,BJ-0171,318,0,100,40,48,40,15,75,
BJ-0170,BJ-0170,289,0,100,0,4,100,55,30,
BJ-0169,BJ-0169,475,0,100,20,100,100,60,95,
BJ-0168,BJ-0168,130,0,90,0,0,5,35,0,
BJ-0167,BJ-0167,405,0,100,25,100,60,60,60,
BJ-0166,BJ-0166,235,0,100,25,0,65,15,30,
BJ-0165,BJ-0165,180,0,90,40,0,25,25,0,
BJ-0164,BJ-0164,282,0,100,0,12,100,60,10,
BJ-0163,BJ-0163,120,0,95,20,0,0,5,0,
BJ-0162,BJ-0162,275,0,100,40,0,100,35,0,
BJ-0161,BJ-0161,165,0,80,40,0,20,15,10,
BJ-0160,BJ-0160,279,0,80,25,4,100,65,5,
BJ-0159,BJ-0159,310,0,100,40,0,100,60,10,
BJ-0158,BJ-0158,229,0,100,40,4,60,25,0,
BJ-0157,BJ-0157,320,0,100,25,0,50,45,100,
BJ-0156,BJ-0156,337,0,100,25,52,100,60,0,
BJ-0155,BJ-0155,0,0,0,0,0,0,0,0,
BJ-0154,BJ-0154,171,0,90,0,16,25,40,0,
BJ-0153,BJ-0153,30,0,0,0,0,30,0,0,
BJ-0152,BJ-0152,120,0,80,0,0,10,20,10,
BJ-0151,BJ-0151,185,0,100,25,0,30,30,0,
BJ-0150,BJ-0150,315,0,100,55,0,100,60,0,
BJ-0149,BJ-0149,40,0,0,0,0,5,35,0,
BJ-0148,BJ-0148,160,0,100,40,0,5,15,0,
BJ-0147,BJ-0147,200,0,100,10,0,55,25,10,
BJ-0146,BJ-0146,190,0,80,20,0,55,35,0,
BJ-0145,BJ-0145,120,0,100,10,0,0,10,0,
BJ-0144,BJ-0144,284,0,100,25,4,100,55,0,
BJ-0143,BJ-0143,229,0,100,0,4,85,35,5,
BJ-0142,BJ-0142,195,0,95,20,0,40,40,0,
BJ-0141,BJ-0141,110,0,100,10,0,0,0,0,
BJ-0140,BJ-0140,95,0,50,0,0,15,30,0,
BJ-0139,BJ-0139,180,0,95,10,0,20,55,0,
BJ-0138,BJ-0138,260,0,80,35,0,100,45,0,
BJ-0137,BJ-0137,150,0,100,10,0,10,30,0,
BJ-0136,BJ-0136,85,0,45,0,0,20,20,0,
BJ-0135,BJ-0135,114,0,45,20,4,35,10,0,
BJ-0134,BJ-0134,277,0,80,25,12,100,30,30,
BJ-0133,BJ-0133,0,0,0,0,0,0,0,0,
BJ-0132,BJ-0132,180,0,100,20,0,40,20,0,
BJ-0131,BJ-0131,140,0,100,10,0,0,30,0,
BJ-0130,BJ-0130,145,0,80,0,0,45,20,0,
BJ-0129,BJ-0129,418,0,100,75,68,100,75,0,
BJ-0128,BJ-0128,125,0,100,10,0,5,10,0,
BJ-0127,BJ-0127,100,0,80,0,0,5,15,0,
BJ-0126,BJ-0126,160,0,100,0,0,30,30,0,
BJ-0125,BJ-0125,160,0,100,0,0,30,30,0,
BJ-0124,BJ-0124,130,0,95,20,0,15,0,0,
BJ-0123,BJ-0123,145,0,100,20,0,25,0,0,
BJ-0122,BJ-0122,165,0,100,0,0,55,10,0,
BJ-0121,BJ-0121,354,0,100,20,44,100,65,25,
BJ-0120,BJ-0120,208,0,100,25,8,40,35,0,
BJ-0119,BJ-0119,274,0,100,40,4,100,30,0,
BJ-0118,BJ-0118,270,0,100,25,0,100,35,10,
BJ-0117,BJ-0117,473,0,90,45,88,100,60,90,
BJ-0116,BJ-0116,150,0,90,20,0,25,15,0,
BJ-0115,BJ-0115,375,0,100,25,100,90,60,0,
BJ-0114,BJ-0114,170,0,100,0,0,45,25,0,
BJ-0113,BJ-0113,211,0,100,15,16,45,35,0,
BJ-0112,BJ-0112,325,0,100,30,0,100,60,35,
BJ-0111,BJ-0111,145,0,100,20,0,25,0,0,
BJ-0110,BJ-0110,80,0,0,20,0,35,25,0,
BJ-0109,BJ-0109,175,0,100,10,0,5,60,0,
BJ-0108,BJ-0108,287,0,100,25,12,100,50,0,
BJ-0107,BJ-0107,329,0,100,0,64,100,55,10,
BJ-0106,BJ-0106,150,0,100,0,0,15,35,0,
BJ-0105,BJ-0105,104,0,80,20,4,0,0,0,
BJ-0104,BJ-0104,347,0,100,25,52,100,60,10,
BJ-0103,BJ-0103,439,0,100,45,44,100,65,85,
BJ-0102,BJ-0102,328,0,100,45,28,40,55,60,
BJ-0101,BJ-0101,429,0,100,45,84,55,70,75,
BJ-0100,BJ-0100,210,0,100,20,0,75,15,0,
BJ-0099,BJ-0099,279,0,100,40,4,90,35,10,
BJ-0098,BJ-0098,105,0,80,0,0,0,25,0,
BJ-0097,BJ-0097,145,0,70,20,0,35,20,0,
BJ-0096,BJ-0096,188,0,100,0,28,0,60,0,
BJ-0095,BJ-0095,192,0,100,25,12,30,15,10,
BJ-0094,BJ-0094,195,0,100,20,0,25,50,0,
BJ-0093,BJ-0093,144,0,100,40,4,0,0,0,
BJ-0092,BJ-0092,120,0,100,0,0,15,5,0,
BJ-0091,BJ-0091,236,0,100,25,16,40,55,0,
BJ-0090,BJ-0090,124,0,45,25,4,15,35,0,
BJ-0089,BJ-0089,190,0,80,20,0,65,15,10,
BJ-0088,BJ-0088,273,0,100,40,8,75,50,0,
BJ-0087,BJ-0087,149,0,100,20,4,0,25,0,
BJ-0086,BJ-0086,384,0,100,45,84,50,60,45,
BJ-0085,BJ-0085,115,0,100,0,0,15,0,0,
BJ-0084,BJ-0084,135,0,80,20,0,20,15,0,
BJ-0083,BJ-0083,223,0,95,25,8,90,0,5,
BJ-0082,BJ-0082,0,0,0,0,0,0,0,0,
BJ-0081,BJ-0081,480,0,100,40,100,100,65,75,
BJ-0080,BJ-0080,124,0,0,25,4,65,30,0,
BJ-0079,BJ-0079,318,0,100,10,8,35,65,100,
BJ-0078,BJ-0078,55,0,0,0,0,55,0,0,
BJ-0077,BJ-0077,135,0,80,0,0,0,55,0,
BJ-0076,BJ-0076,205,0,100,30,0,35,35,5,
BJ-0075,BJ-0075,175,0,100,20,0,20,35,0,
BJ-0074,BJ-0074,165,0,80,25,0,40,20,0,
BJ-0073,BJ-0073,259,0,95,20,4,100,40,0,
BJ-0072,BJ-0072,279,0,100,45,44,10,60,20,
BJ-0071,BJ-0071,165,0,100,40,0,25,0,0,
BJ-0070,BJ-0070,225,0,95,30,0,100,0,0,
BJ-0069,BJ-0069,120,0,100,0,0,0,20,0,
BJ-0068,BJ-0068,135,0,85,15,0,30,5,0,
BJ-0067,BJ-0067,120,0,80,10,0,30,0,0,
BJ-0066,BJ-0066,95,0,45,0,0,15,35,0,
BJ-0065,BJ-0065,423,0,100,40,88,100,60,35,
BJ-0064,BJ-0064,179,0,100,20,4,40,15,0,
BJ-0063,BJ-0063,306,0,100,25,56,90,35,0,
BJ-0062,BJ-0062,361,0,100,25,76,50,60,50,
BJ-0061,BJ-0061,140,0,40,10,0,90,0,0,
BJ-0060,BJ-0060,228,0,100,25,48,20,35,0,
BJ-0059,BJ-0059,309,0,100,45,4,90,60,10,
BJ-0058,BJ-0058,60,0,0,25,0,0,35,0,
BJ-0057,BJ-0057,284,0,100,25,4,100,55,0,
BJ-0056,BJ-0056,520,0,100,95,100,40,85,100,
BJ-0055,BJ-0055,280,0,95,25,0,100,60,0,
BJ-0054,BJ-0054,214,0,100,25,4,30,45,10,
BJ-0053,BJ-0053,210,0,100,25,0,65,15,5,
BJ-0052,BJ-0052,0,0,0,0,0,0,0,0,
BJ-0051,BJ-0051,0,0,0,0,0,0,0,0,
BJ-0050,BJ-0050,315,0,100,25,0,100,60,30,
BJ-0049,BJ-0049,282,0,100,25,12,100,45,0,
BJ-0048,BJ-0048,240,0,90,25,0,90,35,0,
BJ-0047,BJ-0047,169,0,100,25,4,25,15,0,
BJ-0046,BJ-0046,160,0,90,20,0,30,15,5,
BJ-0045,BJ-0045,210,0,80,25,0,65,40,0,
BJ-0044,BJ-0044,205,0,100,40,0,30,35,0,
BJ-0043,BJ-0043,49,0,15,10,4,10,10,0,
BJ-0042,BJ-0042,100,0,100,0,0,0,0,0,
BJ-0041,BJ-0041,0,0,0,0,0,0,0,0,
BJ-0040,BJ-0040,160,0,95,20,0,15,30,0,
BJ-0039,BJ-0039,140,0,100,40,0,0,0,0,
BJ-0038,BJ-0038,85,0,15,0,0,30,40,0,
BJ-0037,BJ-0037,159,0,100,0,4,30,15,10,
BJ-0036,BJ-0036,268,0,100,25,8,100,35,0,
BJ-0035,BJ-0035,179,0,100,0,4,50,25,0,
BJ-0034,BJ-0034,235,0,100,40,0,45,45,5,
BJ-0033,BJ-0033,85,0,0,0,0,55,30,0,
BJ-0032,BJ-0032,110,0,100,10,0,0,0,0,
BJ-0031,BJ-0031,125,0,80,0,0,45,0,0,
BJ-0030,BJ-0030,135,0,100,10,0,15,10,0,
BJ-0029,BJ-0029,170,0,100,25,0,10,35,0,
BJ-0028,BJ-0028,274,0,100,25,44,40,65,0,
BJ-0027,BJ-0027,214,0,100,10,4,65,35,0,
BJ-0026,BJ-0026,160,0,80,20,0,60,0,0,
BJ-0025,BJ-0025,488,0,100,40,88,100,60,100,
BJ-0024,BJ-0024,214,0,90,20,4,70,25,5,
BJ-0023,BJ-0023,350,0,100,10,0,100,60,80,
BJ-0022,BJ-0022,354,0,100,25,44,100,60,25,
BJ-0021,BJ-0021,265,0,100,40,0,90,35,0,
BJ-0020,BJ-0020,150,0,80,0,0,55,15,0,
BJ-0019,BJ-0019,95,0,80,0,0,0,15,0,
BJ-0018,BJ-0018,287,0,90,20,72,50,55,0,
BJ-0017,BJ-0017,149,0,100,20,4,10,15,0,
BJ-0016,BJ-0016,5,0,0,0,0,0,5,0,
BJ-0015,BJ-0015,443,0,100,30,88,100,55,70,
BJ-0014,BJ-0014,530,0,100,45,100,100,85,100,
BJ-0013,BJ-0013,110,0,100,0,0,0,10,0,
BJ-0012,BJ-0012,204,0,100,0,4,100,0,0,
BJ-0011,BJ-0011,150,0,100,0,0,15,35,0,
BJ-0010,BJ-0010,250,0,100,25,0,100,25,0,
BJ-0009,BJ-0009,419,0,100,20,44,100,65,90,
BJ-0008,BJ-0008,204,0,80,30,4,30,60,0,
BJ-0007,BJ-0007,185,0,80,10,0,65,30,0,
BJ-0006,BJ-0006,221,0,100,0,36,25,50,10,
BJ-0005,BJ-0005,174,0,80,40,4,25,25,0,
BJ-0004,BJ-0004,334,0,100,20,4,90,60,60,
BJ-0003,BJ-0003,205,0,100,40,0,30,35,0,
BJ-0002,BJ-0002,461,0,100,40,76,90,55,100,
BJ-0001,BJ-0001,185,0,80,25,0,65,15,0,
